;included chess engine(s);Can open/save PGN;Can import UCI[5] engines;Levels;3D or Animated pieces;Variants;Multiplayer;
Aquarium;Crafty, Delfi, Rybka, Spike;Yes;Yes;multivariation[6], uci_elo[7];No;Chess960;No;
Battle Chess;n/a;No;No;;Yes;No;;
Battle Chess: Game of Kings;n/a;No;No;;Yes;No;;
Battle vs. Chess;Fritz;No;No;levels 1-9;Yes;;;
Chessaria: The Tactical Adventure;n/a;No;No;;Yes;Yes;Yes;
Chess Assistant;Dragon, Rybka;Yes;Yes;multivariation, uci_elo[8];No;Chess960;No;
Chessbase;Fritz;Yes;Yes;uci_elo[9] for analysis but no timed games;Yes;Chess960;No;
Chessmaster;The King;Yes;No;Personalities with Elo ratings;Yes;No;no longer supported;
Chess Titans;n/a;No;No;Yes;No;No;;
ChessV;;;;;;;;
Combat Chess;Rebel;Yes;No;;Yes;;;
Fritz;Rybka, earlier Pandix or Fritz;Yes;Yes;Friend Mode[10], Handicap and Fun[11], uci_elo[12];Yes;Chess960;;
Fritz and Chesster;Koenig Schwarz;;;;;;
GNOME Chess;;;;;;;
GNU Chess;GNU chess;Yes;No;;No;Knightmate, Capablanca, Gothic, Shatranj, Courier, Cylinder, Berolina;No;
Hiarcs Chess Explorer;Hiarcs;Yes;Yes;uci_elo[13];No;No;No;
Chessbase Houdini;Houdini;Yes;Yes;Friend Mode[14], Handicap and Fun[15], uci_elo[16];Yes;Chess960;Yes;
Chessbase Junior;Junior;Yes;Yes;Friend Mode, Handicap and Fun, uci_elo[17];Yes;Chess960;Yes;
Chessbase Komodo;Komodo;Yes;Yes;Friend Mode[18], Handicap and Fun[19], uci_elo[20];Yes;Chess960;Yes;
Playchess;none;Yes;No;Other players have Elo rating;No;Chess960;Yes;
Play Magnus;Glaurung;Yes;No;can choose Magnus' age;No;No;No;
Pure Chess;n/a;No;No;;Yes;;;
pyChess;Pychess engine, Stockfish;Yes;Yes;;;;Yes;
Chessbase Rybka;Rybka;Yes;Yes;Friend Mode, Handicap and Fun, uci_elo[21];Yes;Chess960;Yes;
Shredder UCI GUI;Shredder;Yes;Yes;uci_elo[22];No;Chess960;No;
SMIRF;;;;;;Chess960, Capablanca, Capablanca Random, Embassy, Janus;;
Wii Chess;Loop Express;No;No;;;;;
Winboard/xBoard;Crafty;Yes;via UCI2WB;No;No;Knightmate, Capablanca, Gothic, Shatranj, Courier, Cylinder, Berolina;Yes;
