File manager;Filesystem support;Attribute columns;File previews;Metadata indexing;Unicode support;Visual Themes;
Altap Salamander;{{yes}};{{yes}};{{yes}};{{dunno}};{{partial}};{{no}};
Commander One;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};
CRAX Commander;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{partial}};
Directory Opus;{{yes}};{{yes}};{{yes}};{{partial}};{{yes}};{{yes}};
Dired;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
Dolphin;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};
Double Commander;{{yes}};{{yes}};{{yes}};{{no}};{{yes}}[89];{{partial}}[90];
emelFM2;{{dunno}};{{dunno}};{{dunno}};{{dunno}};;{{dunno}};
Far Manager;{{yes}};{{yes}};{{yes}};{{partial}};{{yes}}[91];{{no}};
Finder;{{yes}};{{no}};{{Yes}};{{yes}};{{Yes}}[92];{{partial}}[93];
ForkLift;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
Konqueror;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
Krusader;{{yes}};{{no}};{{yes}};{{partial}};;{{dunno}};
Midnight Commander;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};
GNOME Files (Nautilus);{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};
Nemo;?;?;?;?;?;?;
Nomad.NET;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};
Path Finder;{{dunno}};{{dunno}};{{dunno}};{{dunno}};;{{dunno}};
PCManFM;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};
ROX-Filer;;{{no}};{{yes}};{{no}};;{{dunno}};
Total Commander;{{yes}};{{yes}};{{yes}};{{yes}} In search tool;{{yes}}[89];{{partial}}[90];
Windows Explorer;{{yes}};{{yes}};{{yes}};{{yes}}[94];{{yes}};{{Partial}}[93];
Xandros File Manager;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Xfe;{{no}};{{partial}};{{no}};{{no}};{{partial}};{{partial}}[95];
Xfile;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Xfm;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
xplorer²;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};
XYplorer;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};
ZTreeWin;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{no}};
File manager;Filesystem support;Attribute columns;File previews;Metadata indexing;Unicode support;Visual Themes;
