Client;CTCP;DCC;IPv6;SSL;TLS;DANE;OCSP;CRL;SASL;OTR;
Bersirc;{{dunno}};{{partial}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
BitchX;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
ChatZilla;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{partial|script}};{{no}};
Colloquy;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}}[38];
degesch;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
DMDirc;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
ERC;{{partial}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}}{{r|group=Note|patch}};{{no}};
HexChat;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}}{{r|group=Note|plugin}};
HydraIRC;{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{dunno}};{{no}};
IceChat;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};
ircII;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
IRCjr;{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{no}};
Ircle;{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
Irssi;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{yes}}[39][40]{{r|group=Note|plugin}};
jIRCii;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
KiwiIRC;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{yes}};{{no}};
Konversation;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};
KVIrc;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{yes}};{{no}};
LimeChat;{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};
Linkinus;{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};
Mibbit;{{dunno}};{{partial}}{{r|group=Note|Protocol_support_Mibbit_A}}{{r|group=Note|nsuccess}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};
mIRC;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};
Nettalk;{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
Opera;{{yes}}[41];{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
PIRCH;{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
PJIRC;{{dunno}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
Quassel;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{yes}};{{no}}[42];
qwebirc;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{no}};
rcirc;{{partial}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
Scrollback;{{partial}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};
Smuxi;{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}}[43];
Snak;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
Visual IRC;{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};
WeeChat;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}}[39][44]{{r|group=Note|plugin}};
XChat;{{yes}};{{yes}};{{partial}}{{r|group=Note|nsuccess}};{{yes}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{partial|script}};{{yes}}[39][40]{{r|group=Note|plugin}};
Client;CTCP;DCC;IPv6;SSL;TLS;DANE;OCSP;CRL;SASL;OTR;
