Implementation;Developed by;Open source;Software license;Copyright owner;Written in;Latest stable version, release date;Origin;
BearSSL[1];Thomas Pornin;{{yes}};{{free|MIT License}};Thomas Pornin;C;0.6 beta;Canada;
Botan;Jack Lloyd;{{yes}};{{free|Simplified BSD License}};Jack Lloyd;C++;{{Latest stable software release/Botan}};US (Vermont);
BoringSSL;Google;{{yes}};{{free|OpenSSL-SSLeay dual-license, ISC license}};Eric Young, Tim Hudson, Sun, OpenSSL project, Google, and others;C, C++, Go, assembly;??;Australia/EU;
Bouncy Castle;The Legion of the Bouncy Castle Inc.;{{Yes}};{{free|MIT License}};Legion of the Bouncy Castle Inc.;Java, C#;{{Latest stable software release/Bouncy Castle}};Australia;
CryptoComply;SafeLogic;{{Yes}};{{free|GNU LGPLv2.1+}} and commercial license;SafeLogic;Java, C;Continuous;US;
cryptlib;Peter Gutmann;{{yes}};{{free|Sleepycat License}} and commercial license;Peter Gutmann;C;{{Latest stable software release/cryptlib}};NZ;
GnuTLS;GnuTLS project;{{yes}};{{free|GNU LGPLv2.1+}};Free Software Foundation;C;{{Latest stable software release/GnuTLS}};EU (Greece and Sweden);
Java Secure Socket Extension (JSSE);Oracle;{{Yes}};{{free|GNU GPLv2}} and commercial license;Oracle;Java;{{Latest stable software release/Java (software platform)}};US;
LibreSSL;OpenBSD Project;{{yes}};{{free|Apache License 1.0, 4-clause BSD License, ISC License, and some are public domain}};Eric Young, Tim Hudson, Sun, OpenSSL project, OpenBSD Project, and others;C, assembly;{{Latest stable software release/LibreSSL}};Canada;
MatrixSSL[2];PeerSec Networks;{{yes}};{{free|GNU GPLv2+}} and commercial license;PeerSec Networks;C;{{Latest stable software release/MatrixSSL}};US;
mbed TLS (previously PolarSSL);ARM;{{yes}};{{free|Apache License 2.0, GNU GPLv2+}} and commercial license;ARM Holdings;C;{{Latest stable software release/mbed TLS}};EU (Netherlands);
Network Security Services (NSS);Mozilla, AOL, Red Hat, Sun, Oracle, Google and others;{{yes}};{{free|MPL 2.0}};NSS contributors;C, assembly;{{Latest stable software release/Network Security Services}};US;
OpenSSL;OpenSSL project;{{yes}};{{free|OpenSSL-SSLeay dual-license}};Eric Young, Tim Hudson, Sun, OpenSSL project, and others;C, assembly;{{Latest stable software release/OpenSSL}};Australia/EU;
RomSTL[3];Allegro Software Development Corporation[4];{{no}};{{proprietary}};Allegro Software Development Corporation[4];C;6.20;US;
RSA BSAFE SSL-J;RSA Security;{{no}};{{proprietary}};RSA Security;Java;6.2.4;Australia;
RSA BSAFE Micro-Edition Suite;RSA Security;{{no}};{{proprietary}};RSA Security;C, assembly;4.1.6.1;Australia;
rustls[5];Joseph Birr-Pixton;{{yes}};{{free|MIT License or Apache License 2.0 or ISC license}};Joseph Birr-Pixton;Rust;0.12.0, 2018-01-06;Cambridge, UK;
S2n;Amazon;{{yes}};{{free|Apache License 2.0, GNU GPLv2+}} and commercial license;Amazon, Inc.;C;Continuous;US;
SChannel;Microsoft;{{no}};{{proprietary}};Microsoft Inc.;;Windows 10, 2015-07-29;US;
Secure Transport;Apple Inc.;{{Yes}};{{free|APSL 2.0}};Apple Inc.;;57337.20.44 (OS X 10.11.2), 2015-12-08;US;
wolfSSL (previously CyaSSL);wolfSSL[6];{{yes}};{{free|GNU GPLv2+}} and commercial license;wolfSSL Inc.[7];C;{{Latest stable software release/wolfSSL}};US;
Erlang/OTP SSL application;Ericsson;{{yes}};{{free|Apache License 2.0}};Ericsson;Erlang;OTP-21, 2018-06-19;Sweden;
Implementation;Developed by;Open source;Software license;Copyright owner;Written in;Latest stable version, release date;Origin;
