;Austria;Belgium;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia & Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland & Liechtenstein;Turkey;Ukraine;United Kingdom;
Proceed straight (no turns);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turn right;;;;;;;;;;;;;;;NOT USED;;;;;NOT USED;;;;;;;NOT USED;;
Turn right ahead;;;;;;;;;;;;;;;;;;;;;NOT USED;;;;;;;;
Proceed straight or turn right;;;;;;;;;;;;NOT USED;;;;;;;;;;;;;;;;NOT USED;
Pass on this side;;;;;;;or;;;or;;;;;;;;;;;;;;;;;;;
Pass on either side;;;;;;;;;;;;;;;;;;NOT USED;;;;;;;;;;;
Roundabout;NOT USED;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mandatory direction for vehicles carrying dangerous goods;;;NOT USED;NOT USED;;NOT USED;;NOT USED;NOT USED;;NOT USED;NOT USED;;;NOT USED;NOT USED;;NOT USED;;;;;;;;;;NOT USED;
Minimum speed limit;;NOT USED;;;;NOT USED;;;;;NOT USED;NOT USED;;;NOT USED;;;;;;;;;NOT USED;;;;;
Minimum speed limit ends;;NOT USED;;;;NOT USED;;;;;NOT USED;NOT USED;;;NOT USED;;;;;;;;;NOT USED;;;;;
Bicycles only;;;;;;;;;;;;;;;;;;;;;;;;;[25];;;;
Pedestrians only;;;;;;;;;;;;;;;;;;;;;;;;;;;;NOT USED;
Shared use path;;;;;;;;;;;;;;;;;;;;;;;;;[25];;;;
Equestrian path;;;;;;;;;;NOT USED;;NOT USED;;;;NOT USED;NOT USED;;;(Belarus);;;;;;;;NOT USED;
;Austria;Belgium;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia & Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland & Liechtenstein;Turkey;Ukraine;United Kingdom;
